;Cod_setor;lat;long;TIPO;income
162;351480915000004;-48.265795463452314;-24.49324278260558;RURAL;0.4174384232697513
163;351480915000005;-48.3447333227135;-24.603533837790028;RURAL;0.4324125618428201
164;351480915000006;-48.30743865734638;-24.398563709994377;RURAL;0.4390491354081853
165;351480915000007;-48.406463424664295;-24.63056727644645;RURAL;0.35327710152441505
166;351480915000011;-48.16699549388758;-24.612014452703367;RURAL;0.4976088255868471
167;351480915000012;-48.381725179822986;-24.552531027018496;RURAL;0.4073596926656117
168;352030105000001;-47.55392102724352;-24.707342197625916;URBANO;0.6722213050966486
169;352030105000002;-47.55803041525054;-24.7091567201073;URBANO;0.6604779297498165
170;352030105000003;-47.560066315866905;-24.71270015145251;URBANO;0.675552093473967
171;352030105000004;-47.560869408257496;-24.7097370359458;URBANO;0.6081826333928327
172;352030105000005;-47.56090207186062;-24.705748167034297;URBANO;0.5913858197622205
173;352030105000006;-47.562397711541166;-24.706885988135415;URBANO;0.5814887439878678
174;352030105000007;-47.56363514479774;-24.701742609955822;URBANO;0.5546278187821618
175;352030105000008;-47.56658799998652;-24.694873061119466;URBANO;0.4771596936822559
176;352030105000009;-47.55903137536356;-24.703022473701733;URBANO;0.6339196028465478
177;352030105000010;-47.55703041295479;-24.70566170696927;URBANO;0.6879467066883371
178;352030105000011;-47.566124040526326;-24.71388976939492;URBANO;0.5764629026434921
179;352030105000012;-47.56871591802609;-24.71388321388271;URBANO;0.5475179571910629
180;352030105000013;-47.568633041561;-24.709986682209976;URBANO;0.5659833432299193
181;352030105000014;-47.56761583679838;-24.708536840578446;URBANO;0.5597441557031256
182;352030105000015;-47.57240439094699;-24.711504850825584;URBANO;0.4961227464167773
183;352030105000016;-47.57021767312755;-24.716901187895328;URBANO;0.522570092464329
184;352030105000017;-47.5744237513247;-24.711603438587318;URBANO;0.525610561868254
185;352030105000018;-47.60767111862765;-24.71229951154253;URBANO;0.4960988726090952
186;352030105000019;-47.717517425647586;-24.810631064975897;URBANO;0.486961881160669
187;352030105000021;-47.54263859792546;-24.656494141949114;URBANO;0.5321021044063241
188;352030105000022;-47.49186402606891;-24.664644378527985;URBANO;0.5900711960507424
189;352030105000025;-47.375264527373204;-24.645043571491957;URBANO;0.6161288360330612
190;352030105000026;-47.434121619521555;-24.66383159706018;URBANO;0.5374174588571334
191;352030105000027;-47.4872482895122;-24.686314776475374;URBANO;0.5673337753547271
192;352030105000028;-47.53169053210384;-24.694533534852706;URBANO;0.5275283622545709
193;352030105000030;-47.557725900448894;-24.694024292596165;URBANO;0.662209730068492
194;352030105000031;-47.57156075428163;-24.708916406300638;URBANO;0.4943566468959086
195;352030105000032;-47.57555924255134;-24.712555504999145;URBANO;0.4984977646913185
196;352030105000033;-47.28700270628855;-24.43746959252578;RURAL;0.4881101139695594
197;352030105000035;-47.780684564085384;-24.80528995798594;URBANO;0.44363367050000935
198;352030105000036;-47.736559508456544;-24.761953412996984;URBANO;0.5550574068110579
199;352030105000037;-47.70722968572516;-24.69469218275407;URBANO;0.5121557665374565
200;352030105000038;-47.661910275353655;-24.62401966072662;RURAL;0.5080955231612408
201;352030105000039;-47.5805426661317;-24.62543931192367;RURAL;0.4702477922792037
202;352030105000040;-47.48676241341438;-24.57905936782743;RURAL;0.5112173129512595
203;352030105000041;-47.40825408052513;-24.558283925463403;RURAL;0.3652251835134194
204;352030105000042;-47.2153804136682;-24.50735018516237;RURAL;0.4623620460122133
205;352030105000043;-47.62293449704436;-24.549470334262043;RURAL;0.5089496052299746
206;352030105000044;-47.592702720856316;-24.477655071826334;RURAL;0.4697890805320484
207;352030105000045;-47.60859181985274;-24.406078744690305;RURAL;0.4821160142256482
208;352030105000046;-47.52648560117012;-24.387331175305853;RURAL;0.4625781316072992
209;352030105000047;-47.500145851621696;-24.459423193647126;RURAL;0.4313095996995959
210;352030105000049;-47.40945187629899;-24.39186414557902;RURAL;0.4349376313993716
211;352030105000050;-47.56339899738539;-24.69767787693105;URBANO;0.6969572457559363
212;352030105000051;-47.576070767383044;-24.721168839042857;URBANO;0.4904896271002447
213;352030105000052;-47.38287741391723;-24.647293381869396;URBANO;0.510155884113389
214;352030105000053;-47.40850659470148;-24.65197204611135;URBANO;0.31926534684889823
215;352030105000054;-47.54882992402307;-24.70356918130741;URBANO;0.57964260660411
216;352030105000055;-47.57408835926546;-24.71498788159104;URBANO;0.5275330860615838
217;352030105000057;-47.54450698857367;-24.616081049406294;RURAL;0.36595397722200973
218;352030105000058;-47.52211680481261;-24.57414316482689;RURAL;0.5885744069578531
219;352030105000059;-47.35082396798267;-24.6214152073742;URBANO;0.4939338550423514
220;352030105000061;-47.568286187472545;-24.573356722490473;RURAL;0.5166460138882606
221;352030105000062;-47.383711823667475;-24.650779613719934;URBANO;0.5827288166429141
222;352030105000063;-47.38170033675583;-24.65159526477019;URBANO;0.6517065892810844
223;352030105000064;-47.3949303392501;-24.658080388538238;URBANO;0.55659085329102
224;352030105000065;-47.385262899081695;-24.64852271804236;URBANO;0.5297512397999417
225;352042605000001;-47.5543431180948;-24.739205988240773;URBANO;0.5858668175615882
226;352042605000002;-47.53616701252018;-24.72933249145619;URBANO;0.6327751128239624
227;352042605000004;-47.558849507863634;-24.736601112482063;URBANO;0.5470901713542838
228;352042605000008;-47.704510403151666;-24.838526619052175;URBANO;0.5251434314495348
229;352042605000010;-47.79587313368674;-24.891836585468614;URBANO;0.53536057182435
230;352042605000011;-47.79396793475421;-24.88799992787003;URBANO;0.6139085543956433
231;352042605000012;-47.85542608935833;-24.98450252818787;URBANO;0.561827111040208
232;352042605000013;-47.548865339813915;-24.736194619169495;URBANO;0.592677507805974
233;352042605000014;-47.53871333227282;-24.734060483902518;URBANO;0.6241103485419129
234;352042605000015;-47.52308772898268;-24.721506036935256;URBANO;0.580154869370551
235;352042605000016;-47.57180565810777;-24.75448658726354;URBANO;0.5751685547085645
236;352042605000017;-47.622007763667206;-24.78873560712587;URBANO;0.5571220148726986
237;352042605000018;-47.67614447356381;-24.82997054564979;URBANO;0.5782994515548808
238;352042605000019;-47.55284496890672;-24.738387396609998;URBANO;0.6451130610259319
239;352042605000020;-47.5513421791808;-24.738271976787967;URBANO;0.6510562209266303
240;352042605000021;-47.53568049188891;-24.721798642159897;URBANO;0.5788212534603658
241;352042605000022;-47.528956434798765;-24.730744826462512;URBANO;0.5799124955626219
242;352042605000023;-47.55503887098263;-24.747193197633173;URBANO;0.6343937020081093
243;352042605000024;-47.54131214799703;-24.738103469823077;URBANO;0.6146357983012689
244;352042605000025;-47.54641840935721;-24.727368806427574;URBANO;0.5409211264983893
245;352042605000026;-47.50883719325316;-24.717546192523397;URBANO;0.5964183276449692
246;352042605000027;-47.47491183579317;-24.706578033657447;URBANO;0.5861773004150538
247;352042605000028;-47.566135340316656;-24.751740014443552;URBANO;0.6456964153646675
248;352042605000029;-47.560002108419965;-24.748413336432485;URBANO;0.6388080303937059
249;352042605000030;-47.57991634187142;-24.760193077729998;URBANO;0.6456995422001515
250;352042605000031;-47.54544189794631;-24.74332193380758;URBANO;0.6573143974796021
251;352120005000001;-48.59134761233196;-24.584198690820312;URBANO;0.5943817542871818
252;352120005000002;-48.593439573066064;-24.58156148053493;URBANO;0.5150322056047809
253;352120005000003;-48.595728451112265;-24.587213457421743;URBANO;0.6017715199515978
254;352120005000004;-48.59735492755741;-24.58438457314608;URBANO;0.5221401565527621
255;352120005000005;-48.676998661207726;-24.563249635897286;URBANO;0.5147337027854173
256;352120005000006;-48.47835063605262;-24.503570285681686;RURAL;0.41641236907677975
257;352120005000007;-48.479561515936936;-24.570771986398295;RURAL;0.4887053870846202
258;352120005000008;-48.49838545740014;-24.63143264268278;RURAL;0.4997347467853754
259;352120005000009;-48.57360255915223;-24.617347362186194;RURAL;0.5317194703795474
260;352120005000010;-48.61741677421462;-24.661868755704884;RURAL;0.4216412085483784
261;352120005000011;-48.73868956358432;-24.666130227113428;RURAL;0.4334348604311648
262;352120005000012;-48.7399734178161;-24.57230015884449;RURAL;0.57934435665758
263;352120005000013;-48.63180548319419;-24.51619699600208;RURAL;0.34134607321284205
264;352120005000014;-48.53770955448761;-24.317876102968505;RURAL;0.6052538907393187
265;352120005000016;-48.43426431709574;-24.282023033814248;RURAL;0.4549746434879005
266;352120005000019;-48.47325906879908;-24.445611435381963;RURAL;0.3755022553552427
267;352120005000021;-48.61449235955287;-24.56461775677171;RURAL;0.4614489394795883
268;352215805000001;-48.84093171891234;-24.641355554003923;URBANO;0.5875529130345172
269;352215805000002;-48.83419610930325;-24.644493564460433;URBANO;0.5967663420348914
270;352215805000003;-48.807489833973264;-24.654425958494006;URBANO;0.470619372977721
271;352215805000004;-48.89321158019003;-24.66756017077617;URBANO;0.5088621993267725
272;352215805000005;-48.8741554024769;-24.604056475095796;URBANO;0.515684015809457
273;352215805000006;-48.78657651202817;-24.644306276580757;URBANO;0.5321242012932006
274;352215805000007;-48.79262922348087;-24.626840677061537;RURAL;0.4532328531235402
275;352215805000008;-48.889446730667366;-24.635528813438825;RURAL;0.4977746490465489
276;352215805000009;-48.851172691949316;-24.586250764369964;RURAL;0.4975836811950185
277;352265305000001;-49.172855499271805;-24.571431625400557;URBANO;0.5616902226130883
278;352265305000002;-49.17129690325984;-24.574649041467673;URBANO;0.5242582787811646
279;352265305000003;-49.1691040334926;-24.57418829503762;URBANO;0.4474341835041263
280;352265305000004;-49.18238120029973;-24.619816228781207;RURAL;0.4046846780004573
281;352265305000005;-49.259903101683236;-24.62237480828278;RURAL;0.4310300937254084
282;352265305000006;-49.224034677096654;-24.494265792532467;RURAL;0.5205358652298132
283;352265305000007;-49.24196418507667;-24.514057280151963;RURAL;0.4658153340635473
284;352265305000008;-49.20942615746537;-24.453996947656606;RURAL;0.4551938731097527
285;352265305000009;-49.17382229553863;-24.531558957794648;RURAL;0.44855150620544776
286;352330505000001;-47.17629425998838;-24.292490668986826;URBANO;0.6353734425823893
287;352330505000002;-47.17809520362049;-24.286172099042602;URBANO;0.6263694890006625
288;352330505000003;-47.1719828421651;-24.2870516035512;URBANO;0.6065359754731584
289;352330505000004;-47.17095543307283;-24.2911180335909;URBANO;0.6170777997899479
290;352330505000005;-47.16614109531712;-24.301043047151;URBANO;0.5602637359764089
291;352330505000006;-47.189185373788156;-24.289476962922105;URBANO;0.5344164183307735
292;352330505000007;-47.16336686544478;-24.281874845887792;RURAL;0.518164192690863
293;352330505000010;-47.13962729689246;-24.287413898974513;RURAL;0.5329329630312286
294;352330505000011;-47.12809665920692;-24.293901295062565;RURAL;0.3889501021032861
295;352330505000013;-47.16148180064239;-24.256912093578368;RURAL;0.4718419264405598
296;352330505000014;-47.14380113884784;-24.279587437335188;RURAL;0.5941473196545466
297;352330505000015;-47.12427396375645;-24.29054890329647;RURAL;0.6522097801748932
298;352330505000016;-47.16255539646069;-24.328401682945074;RURAL;0.3877139518746809
299;352330505000017;-47.199107906068534;-24.315422639073;RURAL;0.528538168151659
300;352330505000018;-47.1238418744436;-24.255880491700932;URBANO;0.5088866533200616
301;352330505000019;-47.11181127066871;-24.29619090970186;RURAL;0.5452658843818227
302;352330505000020;-47.16840069199679;-24.343509392508416;RURAL;0.6126944750558397
303;352330505000023;-47.12248669816795;-24.236088976521305;RURAL;0.5430420283161501
304;352330505000024;-47.18449339989778;-24.280936146459087;URBANO;0.5449130149394309
305;352330505000026;-47.140851791829675;-24.299890593146582;URBANO;0.515754924326913
306;352330505000027;-47.137654259606066;-24.296063402022124;URBANO;0.5120775299200944
307;352330505000028;-47.13403209218882;-24.297958969227647;URBANO;0.5283920548137347
308;352330505000029;-47.14939257124257;-24.304280018641972;URBANO;0.5456419045103004
309;352330505000031;-47.18323298105522;-24.32227455264958;URBANO;0.5737269635875241
310;352330505000032;-47.18124844263932;-24.33512135086531;URBANO;0.6026905460472644
311;352330505000034;-47.14316419264107;-24.271691456180744;URBANO;0.6733819562405076
312;352330505000035;-47.13539400722198;-24.307114734376412;URBANO;0.5789230350127121
313;352330505000037;-47.16119884008523;-24.316277624188274;RURAL;0.4545041309502377
314;352330505000038;-47.19253497178358;-24.279718802817392;RURAL;0.6446360589980775
315;352330505000039;-47.18934167684001;-24.300267936700052;URBANO;0.4842594199019515
316;352330510000001;-47.06704580471847;-24.30005028845508;URBANO;0.5677684667240529
317;352330510000002;-47.08452704539037;-24.304422972381502;RURAL;0.5662569557214232
318;352330510000005;-47.07560044987617;-24.28560238477899;RURAL;0.3013571499916564
319;352330510000006;-47.04676555249031;-24.28140029112833;URBANO;0.5021360253786041
320;352330510000007;-47.03990225472838;-24.277963199504335;RURAL;0.4573808328464953
321;352330510000008;-47.04012209119526;-24.290379948218952;URBANO;0.4539039652439161
322;352330510000009;-47.029161138769595;-24.285771259293632;RURAL;0.4764178723841063
323;352330510000010;-47.02891968116584;-24.294942248504807;RURAL;0.43092885639693695
324;352330510000011;-47.04492382326029;-24.305732478513765;RURAL;0.4907224426324706
