,Cod_setor,long,lat,TIPO,income,longevity,literacy,Wealth_index_2010,Wealth_index_2015,Wealth_index_2020
856,412788205000002,-49.0789849388958,-24.9735935111722,URBANO,0.4315747411828422,0.8,0.9659202424931324,-0.045578565448523,0.194620024971664,0.223786751180887
746,410520105000024,-49.2433609830445,-24.9724824180522,RURAL,0.666098001691828,0.8166666666666667,0.925925925925926,-0.493605929613113,-0.473578995466232,-0.495320397615433
855,412788205000001,-49.0872730000727,-24.9722048124194,URBANO,0.5734006518345309,0.7333333333333333,0.8552082421270759,0.004557583853602,0.306896612048149,0.31688885986805
742,410520105000020,-49.1560992677499,-24.9594302103576,RURAL,0.6451862092694376,0.45,0.9565217391304348,-0.507588130235672,-0.437535530328751,-0.46153838634491
864,412788205000010,-48.7623136092949,-24.9585590782791,RURAL,0.4623968857918634,0.7666666666666667,0.742296918767507,-0.608061403036118,-0.590309423208237,-0.59045581817627
854,412220610000004,-49.4952907818891,-24.9583493906131,RURAL,0.4209763053889111,0.8166666666666667,0.96875,-0.585410678386688,-0.516272264719009,-0.569456470012665
120,350990805000005,-47.8964629519391,-24.955510841424,URBANO,0.7667216790151469,0.8833333333333333,0.9678041256988624,-0.455883884429932,-0.473920124769211,-0.441437935829163
731,410520105000009,-49.3283315991207,-24.9486953889385,RURAL,0.4939109495649475,0.7833333333333333,0.834848484848485,-0.54287850856781,-0.500624865293503,-0.500050902366638
857,412788205000003,-49.0405016660947,-24.9377106992703,RURAL,0.5399123844907502,0.8333333333333334,0.8116092799810545,-0.410168313980103,-0.437960249185562,-0.40336571931839
68,350540105000005,-48.3515197484785,-24.933687872056,RURAL,0.4945722558725528,0.7833333333333333,0.8687881624103043,-0.514467930793762,-0.503210401535034,-0.463919132947922
353,352460005000020,-48.1054768652771,-24.9322107683065,RURAL,0.5042714834090163,0.6666666666666666,0.8657176157176156,-0.593511348962784,-0.564970105886459,-0.583102929592133
826,412220605000030,-49.4493159145248,-24.9313550043696,RURAL,0.4807685329362194,0.9,0.8804964014591343,-0.604894030094147,-0.577869498729706,-0.551250767707825
853,412220610000003,-49.5150879956713,-24.9291953435426,RURAL,0.4818443497253813,0.8333333333333334,0.9056918925864064,-0.603901779651642,-0.557824856042862,-0.579142987728119
135,350990805000025,-48.0193274938327,-24.9265125791499,RURAL,0.2976757844468857,0.6166666666666667,0.8974358974358975,-0.558057647943497,-0.546214652061462,-0.53090283870697
827,412220605000031,-49.4043155686331,-24.9256009996914,RURAL,0.4438017754143293,0.8333333333333334,0.8240740740740741,-0.627497547864914,-0.583772015571594,-0.573324334621429
730,410520105000008,-49.2487785464609,-24.9233921540081,RURAL,0.4523122977024452,0.5833333333333334,0.7714285714285715,-0.426225793361664,-0.397883856296539,-0.416024905443192
732,410520105000010,-49.3617149721571,-24.9225734537406,RURAL,0.5032732793796373,0.7,0.909490474363892,-0.564069455862045,-0.548648571968079,-0.54296960234642
131,350990805000018,-48.0140600924325,-24.9210664304123,RURAL,0.436904369471776,0.85,0.9377952802464536,-0.577751338481903,-0.569198173284531,-0.548788815736771
73,350540105000010,-48.5224310718906,-24.913660796908,RURAL,0.4454556801150554,0.7,0.8474576271186439,-0.580892205238342,-0.573229873180389,-0.578885877132416
72,350540105000009,-48.4367043481912,-24.9127870307757,RURAL,0.34172491451279824,0.7666666666666667,0.8606060606060605,-0.557189899682999,-0.582327622175217,-0.544433385133743
77,350540105000015,-48.2784841952666,-24.9090314935688,RURAL,0.35951728669820104,0.8333333333333334,0.9042424242424244,-0.474156741797924,-0.362832422554493,-0.368255957961082
863,412788205000009,-48.8524562777079,-24.9050274087079,RURAL,0.5105464105107903,0.6166666666666667,0.41651031894934337,-0.535392916202545,-0.512157833576202,-0.508581429719925
357,352460005000027,-48.064148774188,-24.9046435994657,RURAL,0.47460819442992,0.7333333333333333,0.8873697278578195,-0.564991039037704,-0.538610708713531,-0.543386107683182
229,352042605000010,-47.7958731336867,-24.8918365854686,URBANO,0.53536057182435,0.6833333333333333,0.9216208222419402,-0.243885117769241,-0.07787241563201,-0.159808488935232
230,352042605000011,-47.7939679347542,-24.88799992787,URBANO,0.6139085543956433,0.8666666666666667,0.9234567901234568,-0.354808658361435,-0.125932771712542,-0.19657359868288
729,410520105000007,-49.2374134411965,-24.8795480737393,RURAL,0.5510796486981,0.75,0.7940500338066259,-0.50997286438942,-0.431932890415192,-0.449201434850693
352,352460005000019,-48.1270361581927,-24.8792290815848,RURAL,0.5026121649407218,0.7666666666666667,0.9659139100932994,-0.633638274669647,-0.587648969888687,-0.595290875434875
756,410520110000003,-49.4917009241608,-24.8767810719569,RURAL,0.4634374534266978,0.7833333333333333,0.8975133171318458,-0.546334004402161,-0.522092127799988,-0.529237353801727
